estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
LogisticRegression,0.7389443651925821,0.7500641903299377,0.7575008824567596,0.008010833698764472,1,100,l2,saga,,,,,,,
LogisticRegression,0.7307008182141588,0.7499314915235745,0.7636491722437478,0.014004602190745868,1,300,l1,liblinear,,,,,,,
LogisticRegression,0.7390530437878249,0.7497691049312346,0.7574133619149696,0.007803943705120512,1,100,l1,saga,,,,,,,
LogisticRegression,0.7304409672830725,0.7497552443620101,0.7633802816901408,0.014036267193916985,1,100,l1,liblinear,,,,,,,
LogisticRegression,0.7304409672830725,0.7497552443620101,0.7633802816901408,0.014036267193916985,1,200,l1,liblinear,,,,,,,
LogisticRegression,0.7358288770053476,0.7497141853901365,0.7627775819527671,0.011017102730703773,10,300,l2,saga,,,,,,,
LogisticRegression,0.7386159913947652,0.7496960823633169,0.7567567567567567,0.007932575209557166,1,200,l1,saga,,,,,,,
LogisticRegression,0.7304409672830725,0.7496656772751052,0.7631115804294263,0.013949628362800297,1,400,l1,liblinear,,,,,,,
ExtraTreesClassifier,0.7407683700111899,0.7496491153371125,0.7582697201017812,0.007147263745987787,,,,,,,,entropy,log2,10,
LogisticRegression,0.737370118237191,0.7493000140490732,0.7600849256900212,0.009308557388000724,10,200,l1,saga,,,,,,,
LogisticRegression,0.7367668097281832,0.749097520650016,0.7590106007067138,0.00924050011360066,1,200,l2,saga,,,,,,,
LogisticRegression,0.7370304114490162,0.7490371492077489,0.7592788971367975,0.00916824849408798,1,100,l2,sag,,,,,,,
LogisticRegression,0.7332617257429288,0.748969955412238,0.7606232294617564,0.011532417215475915,1,100,l2,lbfgs,,,,,,,
ExtraTreesClassifier,0.7438622205936241,0.7487466609112889,0.75127644055434,0.0034545607126328735,,,,,,,,gini,log2,10,
LogisticRegression,0.7362401715511079,0.7487193661250644,0.7573295655245496,0.009033916732212429,10,100,l1,saga,,,,,,,
SVC,0.7407670454545454,0.7485167949258366,0.7540751240255138,0.005649659650315837,0.1,,,,,,linear,,,,
