estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
LogisticRegression,0.7402084081925979,0.7511492111443062,0.7699332630839479,0.013342392728767296,10,200,l2,saga,,,,,,,
LogisticRegression,0.7394897592526051,0.7511456599886164,0.7709065354884048,0.014048046583153482,10,100,l2,sag,,,,,,,
LogisticRegression,0.7419585418155825,0.7509796505526715,0.7677758318739055,0.01188758264620238,10,300,l2,saga,,,,,,,
RidgeClassifier,0.744136460554371,0.7509325521276092,0.7611364433532093,0.007346639941414375,,,,,0.8,,,,,,
RidgeClassifier,0.7427149964463399,0.7506602971811249,0.7597061909758656,0.006980145733806355,,,,,0.6,,,,,,
SVC,0.7410617551462622,0.7504691411529182,0.7639817094618362,0.009796954212342508,0.1,,,,,,linear,,,,
RidgeClassifier,0.7422459893048129,0.7502504594374394,0.762574744987689,0.008843460138628556,,,,,1.0,,,,,,
GradientBoostingClassifier,0.7376185458377239,0.750120980175804,0.756585879873551,0.008842277553759426,,,,,,,,,,110,0.8
RidgeClassifier,0.7430604982206406,0.75001685357672,0.7615033368458026,0.008182343524099947,,,,,0.9,,,,,,
SVC,0.7426756088951643,0.7500103957622768,0.7598591549295776,0.007236878061880243,1,,,,,,linear,,,,
LogisticRegression,0.7396280400572245,0.7500084802429797,0.7693927693927693,0.013718278566203014,10,300,l1,saga,,,,,,,
RidgeClassifier,0.7409510290986514,0.7497549329590364,0.7576075550891921,0.006833187017104603,,,,,0.5,,,,,,
LogisticRegression,0.736728837876614,0.7496922280374058,0.7646643109540636,0.011492716503821887,0.1,200,l2,saga,,,,,,,
LogisticRegression,0.736728837876614,0.749543408493173,0.7646643109540636,0.011520620323210646,0.1,100,l2,sag,,,,,,,
LogisticRegression,0.736275565123789,0.7491510896916665,0.7651006711409395,0.011966872426481714,0.1,100,l2,saga,,,,,,,
LogisticRegression,0.74,0.74906781201538,0.7667016439314446,0.012470684821201188,10,200,l2,sag,,,,,,,
LogisticRegression,0.7364646826819649,0.7490131979505001,0.7644978783592645,0.01163130300148313,0.1,300,l2,saga,,,,,,,
LogisticRegression,0.7397849462365592,0.7490064117998712,0.7669699090272917,0.01270361861034309,10,400,l2,saga,,,,,,,
GradientBoostingClassifier,0.7407673001075654,0.748982350985793,0.7556497175141244,0.006173496151611723,,,,,,,,,,160,1.0
LogisticRegression,0.7334770114942529,0.7489818461619705,0.766137566137566,0.013384618637999746,0.1,100,l2,lbfgs,,,,,,,
GradientBoostingClassifier,0.7423269093504641,0.7489377831999819,0.7524752475247526,0.004678431112031411,,,,,,,,,,60,0.6
LogisticRegression,0.7351778656126481,0.7488094197837833,0.7651622002820876,0.012391364894823488,0.1,400,l2,liblinear,,,,,,,
LogisticRegression,0.7351778656126481,0.7488094197837833,0.7651622002820876,0.012391364894823488,0.1,100,l2,liblinear,,,,,,,
LogisticRegression,0.7351778656126481,0.7488094197837833,0.7651622002820876,0.012391364894823488,0.1,300,l2,liblinear,,,,,,,
LogisticRegression,0.7351778656126481,0.7488094197837833,0.7651622002820876,0.012391364894823488,0.1,200,l2,liblinear,,,,,,,
LogisticRegression,0.7364646826819649,0.7487184023489575,0.7640608418818535,0.011475833839099175,0.1,200,l2,sag,,,,,,,
LogisticRegression,0.7364646826819649,0.7487184023489575,0.7640608418818535,0.011475833839099175,0.1,400,l2,saga,,,,,,,
GradientBoostingClassifier,0.7370705244122966,0.7486817211636158,0.7583538515652479,0.008796400301875574,,,,,,,,,,110,0.4
LogisticRegression,0.7359369401648156,0.7486311902563368,0.7640608418818535,0.01164331791519758,0.1,200,l2,lbfgs,,,,,,,
LogisticRegression,0.7362007168458783,0.7486304137369286,0.7640608418818535,0.01157007441055095,0.1,400,l2,sag,,,,,,,
LogisticRegression,0.7362007168458783,0.7486304137369286,0.7640608418818535,0.01157007441055095,0.1,400,l2,lbfgs,,,,,,,
LogisticRegression,0.7362007168458783,0.7486304137369286,0.7640608418818535,0.01157007441055095,0.1,300,l2,sag,,,,,,,
LogisticRegression,0.7362007168458783,0.7486304137369286,0.7640608418818535,0.01157007441055095,0.1,300,l2,lbfgs,,,,,,,
LogisticRegression,0.7359369401648156,0.7485424881765743,0.7640608418818535,0.011664812891871473,0.1,100,l2,newton-cg,,,,,,,
LogisticRegression,0.7359369401648156,0.7485424881765743,0.7640608418818535,0.011664812891871473,0.1,400,l2,newton-cg,,,,,,,
LogisticRegression,0.7359369401648156,0.7485424881765743,0.7640608418818535,0.011664812891871473,0.1,200,l2,newton-cg,,,,,,,
LogisticRegression,0.7359369401648156,0.7485424881765743,0.7640608418818535,0.011664812891871473,0.1,300,l2,newton-cg,,,,,,,
